Gene	logpval_gwascatalog	Adipose - Subcutaneous_GTExTPM	Adipose - Visceral (Omentum)_GTExTPM	Adrenal Gland_GTExTPM	Artery - Aorta_GTExTPM	Artery - Coronary_GTExTPM	Artery - Tibial_GTExTPM	Bladder_GTExTPM	Brain - Amygdala_GTExTPM	Brain - Anterior cingulate cortex (BA24)_GTExTPM	Brain - Caudate (basal ganglia)_GTExTPM	Brain - Cerebellar Hemisphere_GTExTPM	Brain - Cerebellum_GTExTPM	Brain - Cortex_GTExTPM	Brain - Frontal Cortex (BA9)_GTExTPM	Brain - Hippocampus_GTExTPM	Brain - Hypothalamus_GTExTPM	Brain - Nucleus accumbens (basal ganglia)_GTExTPM	Brain - Putamen (basal ganglia)_GTExTPM	Brain - Spinal cord (cervical c-1)_GTExTPM	Brain - Substantia nigra_GTExTPM	Breast - Mammary Tissue_GTExTPM	Cells - Cultured fibroblasts_GTExTPM	Cells - EBV-transformed lymphocytes_GTExTPM	Cervix - Ectocervix_GTExTPM	Cervix - Endocervix_GTExTPM	Colon - Sigmoid_GTExTPM	Colon - Transverse_GTExTPM	Esophagus - Gastroesophageal Junction_GTExTPM	Esophagus - Mucosa_GTExTPM	Esophagus - Muscularis_GTExTPM	Fallopian Tube_GTExTPM	Heart - Atrial Appendage_GTExTPM	Heart - Left Ventricle_GTExTPM	Kidney - Cortex_GTExTPM	Kidney - Medulla_GTExTPM	Liver_GTExTPM	Lung_GTExTPM	Minor Salivary Gland_GTExTPM	Muscle - Skeletal_GTExTPM	Nerve - Tibial_GTExTPM	Ovary_GTExTPM	Pancreas_GTExTPM	Pituitary_GTExTPM	Prostate_GTExTPM	Skin - Not Sun Exposed (Suprapubic)_GTExTPM	Skin - Sun Exposed (Lower leg)_GTExTPM	Small Intestine - Terminal Ileum_GTExTPM	Spleen_GTExTPM	Stomach_GTExTPM	Testis_GTExTPM	Thyroid_GTExTPM	Uterus_GTExTPM	Vagina_GTExTPM	Whole Blood_GTExTPM	Adipose_Subcutaneous_GTExFC	Adipose_Visceral_Omentum_GTExFC	Adrenal_Gland_GTExFC	Artery_Aorta_GTExFC	Artery_Coronary_GTExFC	Artery_Tibial_GTExFC	Brain_Amygdala_GTExFC	Brain_Anterior_cingulate_cortex_BA24_GTExFC	Brain_Caudate_basal_ganglia_GTExFC	Brain_Cerebellar_Hemisphere_GTExFC	Brain_Cerebellum_GTExFC	Brain_Cortex_GTExFC	Brain_Frontal_Cortex_BA9_GTExFC	Brain_Hippocampus_GTExFC	Brain_Hypothalamus_GTExFC	Brain_Nucleus_accumbens_basal_ganglia_GTExFC	Brain_Putamen_basal_ganglia_GTExFC	`Brain_Spinal_cord_cervical_c-1`_GTExFC	Brain_Substantia_nigra_GTExFC	Breast_Mammary_Tissue_GTExFC	Cells_Cultured_fibroblasts_GTExFC	`Cells_EBV-transformed_lymphocytes`_GTExFC	Colon_Sigmoid_GTExFC	Colon_Transverse_GTExFC	Esophagus_Gastroesophageal_Junction_GTExFC	Esophagus_Mucosa_GTExFC	Esophagus_Muscularis_GTExFC	Heart_Atrial_Appendage_GTExFC	Heart_Left_Ventricle_GTExFC	Kidney_Cortex_GTExFC	Liver_GTExFC	Lung_GTExFC	Minor_Salivary_Gland_GTExFC	Muscle_Skeletal_GTExFC	Nerve_Tibial_GTExFC	Ovary_GTExFC	Pancreas_GTExFC	Pituitary_GTExFC	Prostate_GTExFC	Skin_Not_Sun_Exposed_Suprapubic_GTExFC	Skin_Sun_Exposed_Lower_leg_GTExFC	Small_Intestine_Terminal_Ileum_GTExFC	Spleen_GTExFC	Stomach_GTExFC	Testis_GTExFC	Thyroid_GTExFC	Uterus_GTExFC	Vagina_GTExFC	Whole_Blood_GTExFC	ExomiserScore	humanScore_Exomiser	mouseScore_Exomiser	fishScore_Exomiser	ppiScore_Exomiser	RVIS_Score	humancellsensitivity	humancellspecificity	mousecellsensitivity	mousecellspecificity	ui_panglaoDB	SDI	SignalValue_H3k4me1_median	SignalValue_H3k4me3_median	SignalValue_H3k27Ac_median	pLI_ExAC	CNVs_ExAC	Gene_length	GDI_Score	HIPred	IPA_Hyperlipidemia_Annotation	O_GlcNAc_Score	EMS_Max	ExAc_constraint_obs_exp	SignalValue_H3k27me3_median	SignalValue_H3k36me3_median	SignalValue_H3k79me2_median	SignalValue_H3k9ac_median	SignalValue_H3k9me1_median	H4k20me1_count	SignalValue_H4k20me1_median	label
ABCC4	138	2.79562	2.91338	0.795924	2.11125	2.98685	2.0773	21.303	1.08827	0.882034	0.898394	0.262107	0.232723	0.913873	0.830579	1.04983	1.71997	0.953825	0.581684	2.69678	1.66245	2.16477	15.1543	19.3602	2.70965	4.23722	12.5641	9.02626	2.65208	1.88752	2.98967	4.81174	1.5193	0.849854	6.77197	8.68217	0.440205	9.28303	1.81333	2.99131	2.32113	6.28193	1.13987	2.0151	17.284	2.95544	4.05081	6.78232	3.0974	4.41941	4.13054	4.49596	5.52959	2.37062	1.10238	-0.210991	-1.220342	0.36324	-0.283374	-0.314631	-0.25138	-0.406236	-0.204422	0.753371	-0.44216	-6.643856	0.336682	0.365692	-1.873908	0.272621	-0.387808	0.936343	1.489797	1.333801	0.408321	-0.189757	0.538412	-0.329958	-0.353381	1.308849	-0.167614	-1.338104	0.87969	0.348658	0.871597	0.610437	-0.176499	0.357283	-0.504527	-0.201485	-0.290329	-0.365096	0.388694	0.365723	-0.326047	-0.302284	0.195058	-0.345959	0.608985	-0.172421	0.721515	-0.430635	-0.75029	0.436404	0	0	0	0	0	0.21	0	0.00156838	0	0.00455654	0.004	3.84251722	10.1363	10.2072	10.8875	0.0013146830739273	5	281604	1639.72468	0.537832558	NA	NA	NA	NA	2.94227	2.55874	6.56177	16.5461	2.13678	1079	1.33107	probable
ABCG1	7	19.9752	16.0458	39.3276	5.82086	9.81989	4.37398	10.9977	6.08027	3.50624	8.04448	10.6673	11.4797	4.97192	4.32266	5.90991	5.77919	7.86775	7.41211	5.33118	6.48837	17.6899	0.125358	2.50853	6.5997	8.49993	10.3685	11.6218	10.5277	3.56845	9.17274	9.72533	3.88385	3.94329	4.92482	9.83684	1.61854	36.121	17.419	7.92383	12.4064	5.96739	1.39858	15.8432	8.98749	14.1036	19.4185	18.0773	36.3737	7.51974	2.54814	13.6393	6.26863	7.39735	7.80606	-1.112626	-0.566686	-0.399207	0.9128	0.290628	0.29179	1.211113	-0.963597	-0.454684	-0.13938	-0.16697	-0.168648	-2.83126	0.60341	-0.56966	0.243929	-0.230045	-0.542951	-0.621987	-0.918629	-3.44784	-6.643856	-0.522826	0.504736	0.748122	0.297308	-0.288372	-0.700376	0.991776	1.598266	3.279668	-0.325475	0.553345	0.450361	-0.703076	-6.643856	0.145382	0.958013	0.87411	-0.717714	-0.333008	0.273444	-0.333416	-0.458338	0.362977	-0.562177	-6.643856	-0.621509	-0.419303	0	0	0	0	0	-1.37	NA	NA	NA	NA	NA	7.41382319	13.1365	6.76812	7.01467	0.358875895364322	8	97555	376.48662	0.622939706	1	4.21758895986899	NA	NA	2.7	2.24382	1.61573	14.9536	2.15741	238	1.78357	probable
ABCG4	8.69897000433602	0.188714	0.418291	0.255868	0.585313	0.331223	0.186687	0.278218	3.6996	7.81752	4.16714	41.9124	48.3428	14.4028	14.0813	4.00512	7.50301	5.16961	3.40005	1.29876	3.30109	0.235049	0.147037	0.0342274	0.424248	0.519505	0.601996	0.387306	0.670483	1.05691	0.93663	0.581985	0.707261	0.518683	0.192588	0.543684	0.0802191	0.247813	0.130383	0.0513794	0.2223	0.258092	0.0415904	0.507668	0.557732	0.382868	0.384613	0.314297	0.162708	0.24115	15.2312	1.77369	1.18146	0.62214	0.010956	-6.643856	-0.536808	-1.444355	1.055846	-1.213818	0.427636	0.172502	0.065907	0.228909	0.14455	0.323495	0.19777	0.204051	0.362335	0.411844	-0.228772	0.217213	0.672642	-0.99524	-0.596443	-0.327924	NA	0.330857	-0.200948	-0.298184	1.01751	-0.861003	-0.24154	-0.227727	0.439691	0.964054	-0.621862	0.807087	-0.841794	0.319974	-6.643856	NA	-1.497671	-1.457604	-0.519166	0.851705	-1.194118	0.686022	0.365847	-0.161683	-0.391726	-0.554773	-6.643856	NA	0	0	0	0	0	-0.07	NA	NA	NA	NA	NA	0	7.52756	10.1205	13.2503	0.000455417358401195	8	13638	196.06202	0.670620084	NA	NA	NA	NA	8.43241	3.09508	NA	9.14277	1.34529	NA	NA	probable
ABCG5	10.397940008672	0.0938508	0.085347	0.138209	0.0600294	0.0646067	0.0544503	0.0466637	0.0896492	0.233648	0.128109	0.200943	0.169703	0.248566	0.322625	0.0996392	0.253384	0.20207	0.0965585	0.0623422	0.0963673	0.0870847	0.0109504	0.00851141	0.263889	0.148903	0.0520316	0.0822883	0.0671464	0.0261709	0.0654679	0.21172	0.0287551	0.0191304	0.0849319	0.314889	59.5805	0.0838212	0.0558188	0.0129137	0.0860326	0.158824	0.0236828	0.206429	0.091648	0.0641312	0.0865644	1.41953	0.182742	0.039531	0.339619	0.119884	0.176934	0.0536206	0.00911092	-0.691982	0.417308	-1.548652	-0.776373	-2.616498	-0.524034	1.147434	0.951752	0.700385	1.332289	0.435166	-6.380278	0.321683	1.292345	0.968096	-0.657958	0.842768	-2.760962	1.168378	1.891393	NA	NA	-6.643856	-6.643856	-0.977212	NA	-1.081365	NA	NA	-1.421114	-0.217577	-0.415449	NA	NA	-0.493122	-6.643856	NA	1.806068	-6.643856	-0.553238	-0.825547	0.49623	2.313951	NA	-0.225137	-0.514227	-0.713204	2.18577	NA	0.884939848	0.884939848	0	0	0	1.16	0	0	0.0927152	0.000392593	0.002	4.78858017	3.07577	NA	NA	1.89797083861304e-15	15	26393	1949.89203	0.260505974	1	NA	NA	NA	9.79763	NA	NA	NA	1.17908	NA	NA	most likely
ABCG8	353	0.0350348	0.040882	0.0688661	0	0	0	0	0.0887139	0.41265	0.189975	0.110366	0.175133	0.701008	0.678127	0.13264	0.32705	0.30142	0.102965	0.0345253	0.101695	0.02391	0	0	0.0141675	0	0	0.134607	0.0146075	0	0.0158496	0.0395984	0	0.00217138	0.0212068	0.270914	48.0676	0.0162879	0.0133299	0	0	0.0390766	0	0.0500646	0	0.0111246	0.0155992	3.96085	0.0776142	0.0265669	0.146839	0.0188117	0.0294586	0	0	1.045063	0.963792	-6.643856	NA	NA	NA	-6.643856	3.085866	0.524321	1.948069	1.716934	0.181368	-6.643856	1.647079	1.300031	0.48775	0.694635	-0.996012	-6.643856	NA	NA	NA	NA	1.671322	NA	NA	NA	NA	NA	NA	-0.447972	NA	NA	NA	NA	NA	NA	2.136607	NA	NA	NA	2.143215	1.77097	NA	0.597355	NA	2.460202	NA	NA	0.892519962	0.892519962	0	0	0	0.74	0	0	0.102649	0.00257284	0.002	4.78858017	NA	NA	NA	3.74527259993631e-16	23	39502	6759.48039	0.250911236	1	NA	NA	NA	3.10968	4.33922	NA	NA	1.17908	NA	NA	probable
ABHD13	NA	8.1984	8.88396	5.95558	9.73591	9.92034	8.53195	8.72125	2.85996	3.4933	3.34537	9.19169	6.98863	3.91223	5.70386	3.19612	3.58532	3.74698	2.71759	4.27646	2.67116	8.37613	10.3781	10.2895	10.6032	10.6088	7.95731	6.82115	8.9616	7.65292	8.2717	10.8481	3.54938	2.69355	3.067	5.14633	4.53185	11.0837	7.80291	3.54285	9.62627	9.02837	2.81207	8.05844	7.92574	7.94318	7.04095	8.33796	8.68441	6.22665	7.73224	10.4495	11.3707	9.33882	4.48327	-0.071824	0.07209	0.202184	0.086167	0.352784	-0.175104	-0.171667	0.344366	-0.152501	0.238382	0.109508	-0.302954	0.156924	-0.137864	-0.37086	0.57201	0.102502	-0.11143	-0.214107	-0.092455	0.095741	0.086524	0.312433	0.130339	-0.307673	-0.101739	-0.160417	0.070421	0.100513	-0.924853	-0.338998	0.162961	0.287314	0.25509	0.186305	0.377698	-0.125208	-0.275941	0.118661	0.056865	-0.075308	0.090386	0.061062	-0.444826	-0.110343	-0.080538	-0.155257	0.411156	-0.342033	0	0	0	0	0	-0.32	NA	NA	NA	NA	NA	2.95961178	9.25696	24.8314	22.8507	0.637356652288557	2	15876	14.35294	0.378442705	NA	NA	NA	NA	NA	10.8304	5.81579	24.9647	1.27743	57	2.7854	probable
ABHD16A	18	28.0372	32.0755	32.389	35.2847	33.6356	33.9335	45.7043	15.1981	19.6338	24.5803	76.8167	72.3719	29.3905	32.6309	16.6506	25.7195	25.1233	19.9266	46.8583	21.3824	30.8634	22.6047	20.9375	52.2849	55.0103	45.8362	37.5559	38.0784	36.4859	37.3549	57.4304	17.1192	13.1007	20.0938	29.1677	23.855	44.897	31.9122	22.4092	45.4901	44.5924	14.7561	99.9986	52.3382	31.1824	31.6691	37.5384	49.6908	31.2413	82.6447	61.4562	59.1235	41.7176	47.2167	-0.084336	-0.065004	-0.116687	-0.117175	-0.143765	-0.092772	-0.319058	-0.284559	0.146605	0.304478	0.402946	0.152452	0.104394	0.622017	0.510752	0.127398	0.116209	0.185078	0.269389	0.074382	0.145125	0.167201	-0.068282	0.258072	-0.077027	-0.149285	0.088667	0.076896	0.113765	0.411798	-0.114803	0.274757	0.461074	0.386063	0.225921	0.425408	0.176498	-0.121688	-0.272693	0.227496	0.141781	0.045487	0.301661	0.440507	0.239764	-0.059914	-0.28402	0.778503	-0.262633	0	0	0	0	0	-0.34	0	0	0.566667	0.047316	0.039	0	6.96743	33.3747	6.53076	0.988882578133094	8	16495	331.75038	0.747095764	NA	NA	NA	NA	NA	4.28367	8.15072	27.3319	1.20474	NA	NA	probable
ABHD8	6	11.6974	10.8837	33.386	22.2446	16.8954	14.932	18.4569	50.0031	79.0958	58.7592	92.127	93.7198	114.831	109.849	48.179	46.3886	64.9675	46.8297	11.6377	24.5278	14.7186	10.7637	11.4577	21.9096	25.3153	27.386	12.4393	26.9353	7.26067	25.1134	24.5824	8.83823	6.88484	9.52512	10.5965	16.8487	17.9943	15.3224	9.17403	24.6806	27.5283	6.85794	42.7651	25.3185	14.4494	16.9263	11.2419	17.3006	10.9924	98.4586	24.612	26.8139	15.4509	8.07819	-0.267936	-0.183083	0.152016	-0.146634	-0.329308	0.300224	-0.13981	0.019561	-0.141041	-0.492528	0.128828	0.120649	-0.126918	-0.088429	0.067983	-0.128132	-0.120659	-0.660669	-0.208026	-0.224533	0.180535	0.514977	-0.210734	-0.146571	-0.191222	0.297822	0.150056	-0.616411	0.155404	0.40302	0.196304	0.189616	0.208489	0.382304	-0.241282	0.185031	-0.16643	0.149245	-0.301119	0.254491	0.295944	0.168737	0.092864	-0.156854	-0.412428	0.136228	-1.477843	0.282747	0.241413	0	0	0	0	0	-0.2	NA	NA	NA	NA	NA	0	7.2415	6.87758	9.44094	0.642340812644093	5	18105	863.32946	0.72829324	NA	NA	NA	NA	NA	2.43891	5.42476	10.47	3.98653	10	3.66774	probable
AC006014.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	least likely
AC007557.1	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	867	2.26454	NA	NA	NA	NA	NA	1.89239	NA	NA	NA	NA	NA	NA	least likely
AC007952.6	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	least likely
AC011308.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	least likely
AC012485.1	26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	least likely
AC013269.5	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0325589	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	least likely
AC015660.1	13.2218487496164	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	least likely
AC016885.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	521	12.51592	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	least likely
AC018630.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	least likely
AC019171.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.92587	15.13575	NA	NA	NA	719	19.54317	NA	NA	NA	NA	NA	10.3299	NA	NA	13.7494	NA	NA	NA	least likely
AC068620.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.83397	6.494215	19.80625	NA	NA	449	3024.54248	NA	NA	NA	NA	NA	NA	10.5265	8.42817	13.97514	1.29855	1	2.21986	least likely
AC073342.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	least likely
AC083862.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	least likely
AC114494.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0296791583668939	6	422	3370.65082	0.123297259	NA	NA	NA	NA	NA	NA	NA	NA	1.27983	2	1.2574	least likely
ACACB	9	150.204	144.046	24.7557	10.8816	22.0639	12.0432	31.5025	7.02883	6.09386	7.23611	6.39397	8.42762	7.53756	6.12063	4.99224	5.52576	6.27647	5.73113	5.21172	6.27306	99.3119	1.66842	0.68476	27.1932	27.3372	61.3111	26.0602	62.0245	7.52829	52.1822	27.0917	23.1468	23.5387	11.5438	11.8567	36.0467	12.6723	14.425	93.5732	46.6491	25.3765	9.95407	21.7922	22.0083	11.6351	12.2096	19.2869	13.4823	19.4535	16.5158	39.3088	32.1101	17.6347	1.16262	0.670025	0.204502	-0.157812	-0.171269	-0.453133	-0.270348	1.797831	-1.722218	0.263203	-0.276315	-1.161136	-0.136424	-0.636944	-0.672276	-0.204778	0.117488	-0.088473	-0.837325	-0.731308	-0.260651	-0.713078	-1.191777	-0.216256	0.468684	0.77613	-0.102525	0.217606	-0.247533	-0.120076	1.848081	-0.274491	-0.260924	-0.424127	0.190142	-0.330555	0.186543	0.277336	-0.137989	0.852521	-0.215908	0.275961	-0.209289	-0.386348	-0.12617	0.380949	-0.358941	-1.422363	-0.475253	-0.523598	0	0	0	0	0	-1.97	NA	NA	NA	NA	NA	4.73409565	6.73398	8.51791	4.09772	5.12432725817776e-22	24	151631	3979.35991	0.526022315	1	NA	5.2836	NA	3.51791	2.37473	NA	11.9826	1.11615	NA	NA	probable
